region,TO_2021,TO_2020,TO_2019,TO_2018,cr_2021,cr_2020,cr_2019,cr_2018,cut_2021,cut_2020,cut_2019,cut_2018
서울,25,43,38,51,19,20.6,34.13,0,84,84.66,87.3,81.7
경기,82,57,39,64,15.4,17.07,21.18,0,85,81.67,82,80.7
인천,4,18,14,6,22.5,21.78,24.36,0,85.67,81,81.7,82
부산,13,7,13,7,18.8,26.43,20.62,0,82,79.67,78.3,78.3
대구,1,2,4,7,33,24,39,0,,80.67,80.7,78.7
광주,1,2,2,2,30,34,25,0,,80.33,77.3,82.7
울산,5,1,2,2,18.2,42,30.5,0,78.33,,82.7,81.7
대전,0,3,1,0,0,24,44,0,,78.33,not_open,0
세종,7,9,13,6,15.7,15.33,20.31,0,81.34,81.33,83,81.3
강원,6,37,8,16,21.3,15.7,24.5,0,80.33,77.33,78.3,79.7
충북,6,6,5,14,24.2,24,20,0,84.67,78.33,78.3,80.7
충남,23,16,22,14,13.8,17.25,19.32,0,82,79.67,81.7,79.3
경북,31,19,2,0,14.7,18.16,28,0,82,78.33,84,0
경남,10,11,19,21,20.2,22.73,25.58,0,82,79,80.7,81.3
전북,16,23,31,12,15.9,16,16.51,0,80.67,76.67,79.7,83
전남,21,12,22,18,13.3,19.92,18.36,0,80,78,79.3,78.7
제주,7,4,3,9,13.9,21.5,23.67,0,78.33,80,76.7,78.7
